Year,Geo_Level,State_ANSI,Commodity_ID,Value
2011,STATE,48,2,4524000.00
2011,STATE,49,2,897000.00
2011,STATE,50,2,172000.00
2011,STATE,51,2,160000.00
2011,STATE,53,2,2698000.00
2011,STATE,54,2,212000.00
2011,STATE,55,2,3591000.00
2011,STATE,56,2,1890000.00
2010,STATE,1,2,486000.00
2010,STATE,4,2,1848000.00
2010,STATE,5,2,1500000.00
2010,STATE,6,2,27470000.00
2010,STATE,8,2,1904000.00
2010,STATE,12,2,13800000.00
2010,STATE,13,2,2530000.00
2010,STATE,15,2,770000.00
2010,STATE,16,2,2619000.00
2010,STATE,17,2,369000.00
2010,STATE,18,2,430000.00
2010,STATE,19,2,1323000.00
2010,STATE,20,2,468000.00
2010,STATE,21,2,335000.00
2010,STATE,22,2,2880000.00
2010,STATE,23,2,205000.00
2010,STATE,26,2,4118000.00
2010,STATE,27,2,8448000.00
2010,STATE,28,2,1568000.00
2010,STATE,29,2,572000.00
2010,STATE,30,2,11618000.00
2010,STATE,31,2,2255000.00
2010,STATE,34,2,455000.00
2010,STATE,35,2,462000.00
2010,STATE,36,2,2880000.00
2010,STATE,37,2,598000.00
2010,STATE,38,2,46410000.00
2010,STATE,39,2,1116000.00
2010,STATE,41,2,2301000.00
2010,STATE,,2,1168000.00
2010,STATE,42,2,1110000.00
2010,STATE,46,2,15370000.00
2010,STATE,47,2,504000.00
2010,STATE,48,2,7200000.00
2010,STATE,49,2,780000.00
2010,STATE,50,2,260000.00
2010,STATE,51,2,185000.00
2010,STATE,53,2,2627000.00
2010,STATE,54,2,200000.00
2010,STATE,55,2,4096000.00
2010,STATE,56,2,1224000.00
2009,STATE,1,2,450000.00
2009,STATE,4,2,1040000.00
2009,STATE,5,2,1368000.00
2009,STATE,6,2,11715000.00
2009,STATE,8,2,1484000.00
2009,STATE,12,2,11560000.00
2009,STATE,13,2,2665000.00
2009,STATE,15,2,950000.00
2009,STATE,16,2,4738000.00
2009,STATE,17,2,272000.00
2009,STATE,18,2,288000.00
2009,STATE,19,2,1092000.00
2009,STATE,20,2,567000.00
2009,STATE,21,2,175000.00
2009,STATE,22,2,3811000.00
2009,STATE,23,2,300000.00
2009,STATE,26,2,3960000.00
2009,STATE,27,2,7930000.00
2009,STATE,28,2,1456000.00
2009,STATE,29,2,517000.00
2009,STATE,30,2,10220000.00
2009,STATE,31,2,2688000.00
2009,STATE,34,2,352000.00
2009,STATE,35,2,420000.00
2009,STATE,36,2,2925000.00
2009,STATE,37,2,495000.00
2009,STATE,38,2,34650000.00
2009,STATE,39,2,550000.00
2009,STATE,41,2,1870000.00
2009,STATE,,2,1348000.00
2009,STATE,42,2,840000.00
2009,STATE,46,2,17820000.00
2009,STATE,47,2,357000.00
2009,STATE,48,2,5607000.00
2009,STATE,49,2,988000.00
2009,STATE,50,2,245000.00
2009,STATE,51,2,234000.00
